Extension Name,Functions,Types,Index Access Methods,Storage Managers,Client Authentication,Query Processing,Utility Commands,Number of Components
acl,Yes,Yes,No,No,No,No,No,2
aclexplode,Yes,No,No,No,No,No,No,1
adaptive_estimator,Yes,Yes,No,No,No,No,No,2
adminpack,Yes,No,No,No,No,No,No,1
aggs_for_arrays,Yes,No,No,No,No,No,No,1
aggs_for_vecs,Yes,No,No,No,No,No,No,1
ajbool,Yes,Yes,Yes,No,No,No,No,3
amcheck,Yes,No,No,No,No,No,No,1
apacheage,Yes,Yes,Yes,No,Yes,Yes,Yes,6
argm,Yes,No,No,No,No,No,No,1
arraymath,Yes,No,No,No,No,No,No,1
auth_delay,No,No,No,No,Yes,No,No,1
auto_explain,No,No,No,No,No,Yes,No,1
base36,Yes,Yes,Yes,No,No,No,No,3
base62,Yes,Yes,Yes,No,No,No,No,3
basebackup_to_shell,No,No,No,No,No,No,Yes,1
basic_archive,No,No,No,No,No,No,Yes,1
bedquilt,Yes,Yes,No,No,No,No,No,2
bgvalidators,Yes,No,No,No,No,No,No,1
bignum,Yes,Yes,Yes,No,No,No,No,3
bitmap_estimator,Yes,Yes,No,No,No,No,No,2
bloom,Yes,No,Yes,No,No,No,No,2
bool_plperl,Yes,No,No,No,No,No,No,1
bson,Yes,Yes,Yes,No,No,No,No,3
btree_gin,Yes,No,Yes,No,No,No,No,2
btree_gist,Yes,Yes,Yes,No,No,No,No,3
byteamagic,Yes,No,No,No,No,No,No,1
cat_tools,Yes,Yes,No,No,No,No,No,2
cert,Yes,Yes,No,No,No,No,No,2
check_digits,Yes,No,No,No,No,No,No,1
check_updates,Yes,No,No,No,No,No,No,1
chkpass,Yes,Yes,No,No,No,No,No,2
citext,Yes,Yes,Yes,No,No,No,No,3
citus,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
clerk_fdw,No,No,No,Yes,No,No,No,1
colnames,Yes,No,No,No,No,No,No,1
colors,Yes,No,No,No,No,No,No,1
complex,Yes,Yes,No,No,No,No,No,2
config_log,Yes,No,No,No,No,No,No,1
